NOMBRE|CARGO|OPCION O SIGLA|CODIGO GEOGRAFIA|CANDIDATO O GANADORLUIS ALBERTO ARCE CATACORA|PRESIDENTE|undefined|undefined|ELECTO
CENTA LOTHY REK LOPEZ|SENADORES (AS)|undefined|undefined|ELECTO
CLAUDIA ELENA EGUEZ ALGARAÑAZ|SENADORES (AS)|undefined|undefined|ELECTO
SERGIO MANIGUARY MOURA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
JULIO DIEGO ROMAÑA GALINDO|SENADORES (AS)|undefined|undefined|ELECTO
VERONICA CHALLCO TAPIA|DIPUTADOS (AS) ESPECIAL|undefined|undefined|ELECTO
GILDO LEODAN HINOJOSA SORIA|DIPUTADOS (AS) ESPECIAL|undefined|undefined|ELECTO
HONORIO CHINO MAMANI|DIPUTADOS (AS) ESPECIAL|undefined|undefined|ELECTO
DARLEN ISABEL VELASCO TORREZ|DIPUTADOS (AS) ESPECIAL|undefined|undefined|ELECTO
ELSA SANCHEZ ROMERO|DIPUTADOS (AS) ESPECIAL|undefined|undefined|ELECTO
ENRIQUE CUNAI CAYUBA|DIPUTADOS (AS) ESPECIAL|undefined|undefined|ELECTO
TACNI ELVIS MENDOZA MENDOZA|DIPUTADOS (AS) ESPECIAL|undefined|undefined|ELECTO
FAUSTINO OLLISCO BARRERO|Representantes ante Organismos Parlamentarios Supraestatales|undefined|undefined|ELECTO
SARA KATTYA CONDORI CALLIZAYA|Representantes ante Organismos Parlamentarios Supraestatales|undefined|undefined|ELECTO
GONZALO ADOLFO RAMON MENDOZA LEIGUE|Representantes ante Organismos Parlamentarios Supraestatales|undefined|undefined|ELECTO
ALICIA LISSETH TICONA QUISPE|Representantes ante Organismos Parlamentarios Supraestatales|undefined|undefined|ELECTO
LUIS ALBERTO ZUÑIGA ROJAS|Representantes ante Organismos Parlamentarios Supraestatales|undefined|undefined|ELECTO
CARLOS HERNAN ARRIEN CRONEMBOLD|Representantes ante Organismos Parlamentarios Supraestatales|undefined|undefined|ELECTO
ALEIZA ALCIRA RODRIGUEZ MONTERO|Representantes ante Organismos Parlamentarios Supraestatales|undefined|undefined|ELECTO
ANA MERELIS GENARO|Representantes ante Organismos Parlamentarios Supraestatales|undefined|undefined|ELECTO
MARTHA RUIZ FLORES|Representantes ante Organismos Parlamentarios Supraestatales|undefined|undefined|ELECTO
JORGE YUCRA ZARATE|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
LIDIA LIMON SOLIS|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ADAN PALACIOS PUMA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
RAMIRO VENEGAS CALDERON|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
MARIA ALANOCA TINTA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
IGNACIO RENAN CABEZAS VEIZAN|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
SABINA HILDA CONDORI CALLE|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
FELIX MAYTA LARICO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
HERNAN ISAIAS DURAN LAZO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ZULAY MAMANI APAZA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ANDRES FLORES CONDORI|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
GLADYS QUISPE CHURA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
BASILIA ROJAS MAMANI|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
PASCEZA FRANCISCA QUISPE MAMANI|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
SANTOS MAMANI ESPINOZA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
OLIVIA GUACHALLA YUPANQUI|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
DORA LIZETH MORALES RIOS|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
GUALBERTO ARISPE MAITA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
HECTOR ARCE RODRIGUEZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
MARIA CRISTINA CHOQUE GUTIERREZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ROSARIO GARCIA ONOFRE|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
PASCUAL PACIFICO CHOQUE GALLEGO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
MIRIAM MARTINEZ MICHAGA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
